,doi,type,text_redacted
0,10.1016/j.jpcs.2012.04.017,solid_state_ceramic_synthesis,Analytical reagent grade powders (purity 99.5%) of ... cooled to room temperature along with the furnace.
1,10.1016/j.jeurceramsoc.2016.03.005,solid_state_ceramic_synthesis,A conventional solid-state reaction method was use ...  enriched atmosphere of the respective components.
2,10.1007/s10854-017-6447-z,solid_state_ceramic_synthesis,The Ni-doped 0.9Pb(Mg1/3Nb2/3)O3-0.1PbTiO3 (PMN-0. ... PT powders inside the crucible as packing powders.
3,10.1016/j.matchemphys.2009.03.003,solid_state_ceramic_synthesis,The (x) CoFe2O4 + (1 - x) Ba0.8Sr0.2TiO3 (where x  ... ere finally sintered at 1150 degC for 12 h in air.
4,10.1016/j.jallcom.2008.02.022,solid_state_ceramic_synthesis,Analytical reagent grade powders (purity 99.5%) of ... cooled to the room temperature along with furnace.
5,10.1007/s10854-012-0996-y,solid_state_ceramic_synthesis,BF-BT ceramics with excess Bi2O3 were prepared wit ... one oil at 80-100 degC under 3-5 kV/mm for 10 min.
6,10.1007/s10854-011-0614-4,solid_state_ceramic_synthesis,"Zn1-xCoxO (x = 0.01, 0.05 and 0.1) bulk ceramics w ... um atmosphere after the sintering period finished."
7,10.1016/j.jpcs.2009.03.004,solid_state_ceramic_synthesis,Analytical reagent grade powders (purity 99.5%) of ... samples were naturally cooled to room temperature.
8,10.1007/s10854-007-9492-1,solid_state_ceramic_synthesis,PLSZFT ceramics were prepared by solid state react ... es were cooled to the room temperature in furnace.
9,10.1016/j.jeurceramsoc.2011.08.036,solid_state_ceramic_synthesis,Specimens of the ZnLi2/3Ti4/3O4 ceramic were prepa ...  pellets were sintered at 900 degC for 2 h in air.
10,10.1016/j.matchemphys.2005.06.015,solid_state_ceramic_synthesis,"Undoped and La2O3 doped (0.5, 1.0, 2.0, 3.0 wt.%)  ... r paint for low frequency electrical measurements."
11,10.1016/j.jallcom.2014.10.045,solid_state_ceramic_synthesis,The ceramics with the composition of K0.5Na0.5Nb0. ... pplying a DC electric field of 3 kV/mm for 30 min.
12,10.1111/j.1551-2916.2010.03690.x,solid_state_ceramic_synthesis,"(Mg1-xNix)Al2O4 ceramics, where x=0-1, were synthe ... gC in air for 3 h at a heating rate of 10degC/min."
13,10.1007/s10854-012-0798-2,solid_state_ceramic_synthesis,Samples of general composition NdxSr1-xTiO3 (herea ... electric properties with as-sintered counterparts.
14,10.1016/j.jmmm.2015.10.051,solid_state_ceramic_synthesis,Various polycrystalline (1-y)BDFO-yNZFO composites ...  870 degC for 4 h and ready for characterizations.
15,10.1016/j.materresbull.2012.06.035,solid_state_ceramic_synthesis,"BZT ceramics doped with Nb2O5, MnO2 or V2O3 were p ... tered at 1400, 1500 or 1600 degC, for 2 h, in air."
16,10.1016/j.matlet.2016.03.089,solid_state_ceramic_synthesis,A conventional solid-state reaction method was use ... ey were then sintered in air at 1180 degC for 2 h.
17,10.1007/s10854-011-0610-8,solid_state_ceramic_synthesis,Specimens of the BTMNN-x ceramics were prepared th ... 2 h with a heating and cooling rate of 5 degC/min.
18,10.1111/j.1744-7402.2009.02380.x,solid_state_ceramic_synthesis,"KNLNS-x (x=0-10 mol%) lead-free piezoelectric cera ... eratures, in the range between 30degC and 150degC."
19,10.1007/s10854-010-0203-y,solid_state_ceramic_synthesis,Conventional solid state ceramic route was used to ... ples were then furnace cooled to room temperature.
20,10.1016/j.mseb.2011.12.015,solid_state_ceramic_synthesis,The chosen composition was Pb0.99[(Zr0.90Sn0.10)0. ...  temperature was then lowered to room temperature.
21,10.1016/j.matlet.2004.04.005,solid_state_ceramic_synthesis,(Pb0.48Ca0.52)(Fe0.5Nb0.5)O3 including xmol% CeO2  ... and PbZrO3+ZrO2 (10 wt.%) powders surrounded them.
22,10.1016/j.matlet.2015.11.046,solid_state_ceramic_synthesis,Li2Mg3TiO6 ceramics were prepared by a conventiona ... s in order to prevent the evaporation of Li and F.
23,10.1016/j.jallcom.2008.06.011,solid_state_ceramic_synthesis,Y-type hexagonal ferrite samples comprising Ba2Zn0 ... egC for 4 h in air and then cooled in the furnace.
24,10.1007/s10854-013-1665-5,solid_state_ceramic_synthesis,"Ca3-xNdxCo4Oy polycrystalline ceramic materials, w ... at 910 degC for 24 h with a final furnace cooling."
25,10.1007/s10853-013-7355-0,solid_state_ceramic_synthesis,(K0.455Na0.5Li0.045)(Nb0.9Ta0.1)O3 powders were sy ... er and balls was always maintained during milling.
26,10.1016/j.matchemphys.2013.06.010,solid_state_ceramic_synthesis,"The Li2Zn(1-x)NixTi3O8 (x = 0, 0.1, 0.2, 0.4 and 1 ... temperature was optimized for higher bulk density."
27,10.1007/s10854-014-2469-y,solid_state_ceramic_synthesis,The Ca3Co4-xTixO9 polycrystalline ceramic material ... at 910 degC for 24 h with a final furnace cooling.
28,10.1016/j.matchemphys.2012.09.004,solid_state_ceramic_synthesis,Specimens of the MgLi2/3Ti4/3O4 ceramic were prepa ... order to reduce the volatilization of Li elements.
29,10.1007/s10853-008-3142-8,solid_state_ceramic_synthesis,0.45TiO2-0.55CeTe2O6 and xZrTe3O8-(1 - x)CeTe2O6 p ... ent atmosphere at temperatures at around 700 degC.
30,10.1016/j.jpowsour.2008.09.068,solid_state_ceramic_synthesis,La0.8Sr0.2Ga0.8Mg0.2O3-δ (LSGM) and La0.8Sr0.2Ga0. ... ty) and then sintered at 1500 degC for 6 h in air.
31,10.1007/s11665-013-0569-0,solid_state_ceramic_synthesis,The nanocrystalline BaTiO3 powder has been obtaine ...  wheel every 6 min after a rest interval of 2 min.
32,10.1016/j.mseb.2010.06.018,solid_state_ceramic_synthesis,"xZnWO4-(1 - x)Ba0.5Sr0.5TiO3 (BST) (x = 0.0, 5.0,  ... wed by sintering at 1200-1240 degC in air for 4 h."
33,10.1016/j.jallcom.2015.01.259,solid_state_ceramic_synthesis,"Polycrystalline single phase Bi4-xSmxTi3-xFexO12+- ... e of 5 degC min-1, with cooling in air atmosphere."
34,10.1016/j.ssc.2015.01.004,solid_state_ceramic_synthesis,Ceramics powers conforming to the chemical formula ...  embedded in the powder with the same composition.
35,10.1007/s10854-008-9721-2,solid_state_ceramic_synthesis,Specimens of the LNT ceramics were prepared by a c ... 2.0 wt% BCu and then sintered at 900 degC for 2 h.
36,10.1016/j.matlet.2006.01.062,solid_state_ceramic_synthesis,The raw materials used were commercially available ... ) in order to investigate the formation of PbTiO3.
37,10.1007/s10854-016-5382-8,solid_state_ceramic_synthesis,"(Ba0.92Bi0.08)(Ti0.92Fe0.08)O3 ceramics, abbreviat ... he PVA, then sintered at 1250 degC for 3 h in air."
38,10.1007/s10854-014-2275-6,solid_state_ceramic_synthesis,Ca1-x(La0.5Na0.5)xWO4 powders with compositions of ... ent atmosphere at temperature of 850 degC for 2 h.
39,10.1016/j.jeurceramsoc.2015.10.019,solid_state_ceramic_synthesis,The (1-x)NBT-xST ceramics were prepared using a co ...  of the discs and annealed at 500 degC for 30 min.
40,10.1016/j.jeurceramsoc.2010.10.033,solid_state_ceramic_synthesis,Na0.5K0.5NbO3 (NKN) and Na0.475K0.475Li0.05NbO3 (N ... finally cooling to room temperature at 180 degC/h.
41,10.1007/s10854-006-9094-3,solid_state_ceramic_synthesis,"Undoped and MnCO3 doped (0.3, 0.5, 1, 2mol%) Ba0.5 ... 50 degC for 3 h, depending on the amount of MnCO3."
42,10.1007/s10853-011-5650-1,solid_state_ceramic_synthesis,The 0.94(K0.4-xNa0.6BaxNb1-xZrx)O3-0.06LiSbO3 cera ... samples were sintered at 1050-1140 degC for 2-3 h.
43,10.1111/j.1551-2916.2009.03432.x,solid_state_ceramic_synthesis,0.3Pb(Ni1/3Nb2/3)O3-xPbTiO3-(0.7-x)PbZrO3 with x=0 ... 000deg and 1280degC in a covered alumina crucible.
44,10.1007/s10854-016-5228-4,solid_state_ceramic_synthesis,"Specimens with x = 0.1, 0.2, 0.25, 0.3 and 0.4 of  ... r, then sintered at 1450-1620 degC for 4 h in air."
45,10.1111/j.1551-2916.2008.02607.x,solid_state_ceramic_synthesis,"The ceramics based on Ba0.6Sr0.4TiO3-MgAl2O4 speci ... der, and then sintered at 1500degC for 4 h in air."
46,10.1007/s10854-013-1234-y,solid_state_ceramic_synthesis,The powders of Bi2Ti4O11 were prepared by conventi ...  for 2 h in air with a heating rate of 5 degC/min.
